"","Municipio.Fato","Natureza.Ocorrencia","mes_data","bo"
"1","AGUA BOA","FURTO",2009-01-01,2
"2","ALTO BOA VISTA","FURTO",2009-01-01,1
"3","ALTO TAQUARI","FURTO",2009-01-01,2
"4","ARENAPOLIS","FURTO",2009-01-01,11
"5","BRASNORTE","FURTO",2009-01-01,2
"6","CACERES","FURTO",2009-01-01,2
"7","CAMPINAPOLIS","FURTO",2009-01-01,3
"8","CHAPADA DOS GUIMARAES","FURTO",2009-01-01,4
"9","COMODORO","FURTO",2009-01-01,2
"10","CUIABA","FURTO",2009-01-01,10
"11","DIAMANTINO","FURTO",2009-01-01,36
"12","JACIARA","FURTO",2009-01-01,1
"13","JUINA","FURTO",2009-01-01,1
"14","LUCIARA","FURTO",2009-01-01,5
"15","NORTELANDIA","FURTO",2009-01-01,2
"16","NOSSA SRA DO LIVRAMENTO","FURTO",2009-01-01,2
"17","NOVA MUTUM","FURTO",2009-01-01,39
"18","NOVA NAZARE","FURTO",2009-01-01,1
"19","POCONE","FURTO",2009-01-01,1
"20","PONTAL DO ARAGUAIA","FURTO",2009-01-01,1
"21","PORTO ALEGRE DO NORTE","FURTO",2009-01-01,19
"22","QUERENCIA","FURTO",2009-01-01,3
"23","ROSARIO OESTE","FURTO",2009-01-01,10
"24","SALTO DO CEU","FURTO",2009-01-01,1
"25","SANTA CRUZ DO XINGU","FURTO",2009-01-01,1
"26","SANTA TEREZINHA","FURTO",2009-01-01,1
"27","SAO FELIX DO ARAGUAIA","FURTO",2009-01-01,2
"28","SAO JOSE DO RIO CLARO","FURTO",2009-01-01,22
"29","SAPEZAL","FURTO",2009-01-01,38
"30","SINOP","FURTO",2009-01-01,2
"31","TANGARA DA SERRA","FURTO",2009-01-01,4
"32","VARZEA GRANDE","FURTO",2009-01-01,4
"33","ALTO BOA VISTA","HOMICÍDIO",2009-01-01,1
"34","ALTO TAQUARI","HOMICÍDIO",2009-01-01,1
"35","ARENAPOLIS","HOMICÍDIO",2009-01-01,2
"36","CUIABA","HOMICÍDIO",2009-01-01,1
"37","DIAMANTINO","HOMICÍDIO",2009-01-01,4
"38","NOVA MUTUM","HOMICÍDIO",2009-01-01,1
"39","PORTO ALEGRE DO NORTE","HOMICÍDIO",2009-01-01,2
"40","SANTA TEREZINHA","HOMICÍDIO",2009-01-01,1
"41","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-01-01,2
"42","ALTO TAQUARI","ROUBO",2009-01-01,1
"43","CUIABA","ROUBO",2009-01-01,1
"44","DIAMANTINO","ROUBO",2009-01-01,1
"45","NOVA MUTUM","ROUBO",2009-01-01,4
"46","PORTO ALEGRE DO NORTE","ROUBO",2009-01-01,1
"47","SAO JOSE DO RIO CLARO","ROUBO",2009-01-01,1
"48","SAPEZAL","ROUBO",2009-01-01,3
"49","TANGARA DA SERRA","ROUBO",2009-01-01,2
"50","VARZEA GRANDE","ROUBO",2009-01-01,2
"51","ALTO ARAGUAIA","FURTO",2009-02-01,1
"52","ALTO PARAGUAI","FURTO",2009-02-01,1
"53","ARENAPOLIS","FURTO",2009-02-01,6
"54","BARAO DE MELGACO","FURTO",2009-02-01,2
"55","CACERES","FURTO",2009-02-01,1
"56","CAMPINAPOLIS","FURTO",2009-02-01,9
"57","COMODORO","FURTO",2009-02-01,11
"58","CUIABA","FURTO",2009-02-01,9
"59","DIAMANTINO","FURTO",2009-02-01,14
"60","GLORIA DOESTE","FURTO",2009-02-01,3
"61","NORTELANDIA","FURTO",2009-02-01,1
"62","NOVA LACERDA","FURTO",2009-02-01,1
"63","NOVA MARILANDIA","FURTO",2009-02-01,1
"64","NOVA MUTUM","FURTO",2009-02-01,1
"65","NOVA OLIMPIA","FURTO",2009-02-01,7
"66","PEDRA PRETA","FURTO",2009-02-01,1
"67","PORTO ALEGRE DO NORTE","FURTO",2009-02-01,7
"68","QUERENCIA","FURTO",2009-02-01,2
"69","RONDONOPOLIS","FURTO",2009-02-01,3
"70","ROSARIO OESTE","FURTO",2009-02-01,8
"71","SALTO DO CEU","FURTO",2009-02-01,1
"72","SANTA CRUZ DO XINGU","FURTO",2009-02-01,1
"73","SAO JOSE DO RIO CLARO","FURTO",2009-02-01,1
"74","SAO JOSE DO XINGU","FURTO",2009-02-01,4
"75","SAPEZAL","FURTO",2009-02-01,25
"76","SORRISO","FURTO",2009-02-01,1
"77","VARZEA GRANDE","FURTO",2009-02-01,1
"78","ARENAPOLIS","HOMICÍDIO",2009-02-01,1
"79","COMODORO","HOMICÍDIO",2009-02-01,5
"80","SALTO DO CEU","HOMICÍDIO",2009-02-01,1
"81","SAO JOSE DO XINGU","HOMICÍDIO",2009-02-01,1
"82","SAPEZAL","HOMICÍDIO",2009-02-01,4
"83","TESOURO","HOMICÍDIO",2009-02-01,1
"84","ALTO ARAGUAIA","ROUBO",2009-02-01,1
"85","ALTO PARAGUAI","ROUBO",2009-02-01,1
"86","COMODORO","ROUBO",2009-02-01,1
"87","CUIABA","ROUBO",2009-02-01,3
"88","DIAMANTINO","ROUBO",2009-02-01,2
"89","NOVA MARILANDIA","ROUBO",2009-02-01,1
"90","PONTES E LACERDA","ROUBO",2009-02-01,1
"91","SAPEZAL","ROUBO",2009-02-01,5
"92","VARZEA GRANDE","ROUBO",2009-02-01,1
"93","CANABRAVA DO NORTE","ROUBO SEGUIDO DE MORTE",2009-02-01,1
"94","ACORIZAL","FURTO",2009-03-01,1
"95","ALTO ARAGUAIA","FURTO",2009-03-01,1
"96","ALTO PARAGUAI","FURTO",2009-03-01,2
"97","ALTO TAQUARI","FURTO",2009-03-01,4
"98","APIACAS","FURTO",2009-03-01,1
"99","ARENAPOLIS","FURTO",2009-03-01,5
"100","CAMPINAPOLIS","FURTO",2009-03-01,5
"101","CANABRAVA DO NORTE","FURTO",2009-03-01,2
"102","CUIABA","FURTO",2009-03-01,8
"103","DIAMANTINO","FURTO",2009-03-01,17
"104","DOM AQUINO","FURTO",2009-03-01,1
"105","GLORIA DOESTE","FURTO",2009-03-01,1
"106","ITANHANGA","FURTO",2009-03-01,1
"107","LAMBARI DOESTE","FURTO",2009-03-01,1
"108","LUCAS DO RIO VERDE","FURTO",2009-03-01,1
"109","NOBRES","FURTO",2009-03-01,1
"110","NORTELANDIA","FURTO",2009-03-01,3
"111","NOVA MUTUM","FURTO",2009-03-01,49
"112","PEDRA PRETA","FURTO",2009-03-01,4
"113","PONTES E LACERDA","FURTO",2009-03-01,1
"114","PORTO ALEGRE DO NORTE","FURTO",2009-03-01,5
"115","PORTO ESPERIDIAO","FURTO",2009-03-01,1
"116","QUERENCIA","FURTO",2009-03-01,2
"117","ROSARIO OESTE","FURTO",2009-03-01,2
"118","SALTO DO CEU","FURTO",2009-03-01,1
"119","SANTA TEREZINHA","FURTO",2009-03-01,1
"120","SANTO ANTONIO DO LEVERGER","FURTO",2009-03-01,7
"121","SAO FELIX DO ARAGUAIA","FURTO",2009-03-01,11
"122","SAO JOSE DO RIO CLARO","FURTO",2009-03-01,26
"123","SAPEZAL","FURTO",2009-03-01,25
"124","SORRISO","FURTO",2009-03-01,1
"125","TAPURAH","FURTO",2009-03-01,5
"126","VARZEA GRANDE","FURTO",2009-03-01,1
"127","VILA RICA","FURTO",2009-03-01,1
"128","ALTO TAQUARI","HOMICÍDIO",2009-03-01,1
"129","CAMPINAPOLIS","HOMICÍDIO",2009-03-01,1
"130","CANABRAVA DO NORTE","HOMICÍDIO",2009-03-01,1
"131","CUIABA","HOMICÍDIO",2009-03-01,1
"132","NOVA MARINGA","HOMICÍDIO",2009-03-01,1
"133","NOVA MUTUM","HOMICÍDIO",2009-03-01,3
"134","NOVA OLIMPIA","HOMICÍDIO",2009-03-01,1
"135","SALTO DO CEU","HOMICÍDIO",2009-03-01,1
"136","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-03-01,4
"137","SAO JOSE DO XINGU","HOMICÍDIO",2009-03-01,1
"138","SAPEZAL","HOMICÍDIO",2009-03-01,2
"139","TAPURAH","HOMICÍDIO",2009-03-01,1
"140","ARENAPOLIS","ROUBO",2009-03-01,2
"141","CACERES","ROUBO",2009-03-01,1
"142","CUIABA","ROUBO",2009-03-01,2
"143","DIAMANTINO","ROUBO",2009-03-01,1
"144","NOVA MUTUM","ROUBO",2009-03-01,7
"145","PORTO ESPERIDIAO","ROUBO",2009-03-01,1
"146","ROSARIO OESTE","ROUBO",2009-03-01,1
"147","SAPEZAL","ROUBO",2009-03-01,4
"148","VARZEA GRANDE","ROUBO",2009-03-01,1
"149","ACORIZAL","FURTO",2009-04-01,1
"150","ALTO ARAGUAIA","FURTO",2009-04-01,1
"151","ALTO PARAGUAI","FURTO",2009-04-01,2
"152","BOM JESUS DO ARAGUAIA","FURTO",2009-04-01,1
"153","CAMPINAPOLIS","FURTO",2009-04-01,1
"154","COMODORO","FURTO",2009-04-01,1
"155","CUIABA","FURTO",2009-04-01,10
"156","DIAMANTINO","FURTO",2009-04-01,4
"157","DOM AQUINO","FURTO",2009-04-01,1
"158","GLORIA DOESTE","FURTO",2009-04-01,3
"159","GUIRATINGA","FURTO",2009-04-01,1
"160","ITANHANGA","FURTO",2009-04-01,6
"161","JUINA","FURTO",2009-04-01,1
"162","NORTELANDIA","FURTO",2009-04-01,3
"163","NOVA MUTUM","FURTO",2009-04-01,34
"164","NOVA OLIMPIA","FURTO",2009-04-01,4
"165","NOVA XAVANTINA","FURTO",2009-04-01,8
"166","NOVO SANTO ANTONIO","FURTO",2009-04-01,1
"167","PEDRA PRETA","FURTO",2009-04-01,5
"168","PORTO ALEGRE DO NORTE","FURTO",2009-04-01,2
"169","PORTO ESPERIDIAO","FURTO",2009-04-01,1
"170","QUERENCIA","FURTO",2009-04-01,4
"171","RONDONOPOLIS","FURTO",2009-04-01,1
"172","ROSARIO OESTE","FURTO",2009-04-01,12
"173","SALTO DO CEU","FURTO",2009-04-01,3
"174","SANTA TEREZINHA","FURTO",2009-04-01,2
"175","SAO JOSE DO RIO CLARO","FURTO",2009-04-01,19
"176","SAO JOSE DO XINGU","FURTO",2009-04-01,5
"177","SAPEZAL","FURTO",2009-04-01,44
"178","TANGARA DA SERRA","FURTO",2009-04-01,2
"179","TAPURAH","FURTO",2009-04-01,4
"180","VARZEA GRANDE","FURTO",2009-04-01,3
"181","CAMPINAPOLIS","HOMICÍDIO",2009-04-01,1
"182","ITANHANGA","HOMICÍDIO",2009-04-01,1
"183","LAMBARI DOESTE","HOMICÍDIO",2009-04-01,1
"184","NOVA MUTUM","HOMICÍDIO",2009-04-01,1
"185","PORTO ALEGRE DO NORTE","HOMICÍDIO",2009-04-01,2
"186","ROSARIO OESTE","HOMICÍDIO",2009-04-01,1
"187","SALTO DO CEU","HOMICÍDIO",2009-04-01,1
"188","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-04-01,1
"189","SAPEZAL","HOMICÍDIO",2009-04-01,1
"190","NOVA MUTUM","HOMICÍDIO DOLOSO",2009-04-01,1
"191","CUIABA","ROUBO",2009-04-01,1
"192","DOM AQUINO","ROUBO",2009-04-01,1
"193","JACIARA","ROUBO",2009-04-01,1
"194","NOVA MUTUM","ROUBO",2009-04-01,8
"195","NOVA OLIMPIA","ROUBO",2009-04-01,1
"196","NOVA XAVANTINA","ROUBO",2009-04-01,2
"197","ROSARIO OESTE","ROUBO",2009-04-01,2
"198","SALTO DO CEU","ROUBO",2009-04-01,1
"199","SAO JOSE DO XINGU","ROUBO",2009-04-01,1
"200","SAPEZAL","ROUBO",2009-04-01,3
"201","VARZEA GRANDE","ROUBO",2009-04-01,2
"202","ACORIZAL","FURTO",2009-05-01,1
"203","ALTO ARAGUAIA","FURTO",2009-05-01,1
"204","ALTO GARCAS","FURTO",2009-05-01,1
"205","ALTO PARAGUAI","FURTO",2009-05-01,4
"206","ALTO TAQUARI","FURTO",2009-05-01,3
"207","ARENAPOLIS","FURTO",2009-05-01,3
"208","BARAO DE MELGACO","FURTO",2009-05-01,8
"209","BOM JESUS DO ARAGUAIA","FURTO",2009-05-01,1
"210","CAMPINAPOLIS","FURTO",2009-05-01,2
"211","CAMPO NOVO DO PARECIS","FURTO",2009-05-01,1
"212","CANARANA","FURTO",2009-05-01,1
"213","CUIABA","FURTO",2009-05-01,8
"214","DIAMANTINO","FURTO",2009-05-01,4
"215","ITANHANGA","FURTO",2009-05-01,4
"216","LAMBARI DOESTE","FURTO",2009-05-01,3
"217","LUCIARA","FURTO",2009-05-01,2
"218","NOBRES","FURTO",2009-05-01,4
"219","NORTELANDIA","FURTO",2009-05-01,5
"220","NOVA BANDEIRANTE","FURTO",2009-05-01,1
"221","NOVA MARILANDIA","FURTO",2009-05-01,2
"222","NOVA MONTEVERDE","FURTO",2009-05-01,1
"223","NOVA MUTUM","FURTO",2009-05-01,32
"224","NOVA OLIMPIA","FURTO",2009-05-01,5
"225","PEDRA PRETA","FURTO",2009-05-01,2
"226","PONTE BRANCA","FURTO",2009-05-01,2
"227","PORTO ALEGRE DO NORTE","FURTO",2009-05-01,8
"228","PORTO ESPERIDIAO","FURTO",2009-05-01,1
"229","PRIMAVERA DO LESTE","FURTO",2009-05-01,1
"230","QUERENCIA","FURTO",2009-05-01,4
"231","RONDONOPOLIS","FURTO",2009-05-01,2
"232","ROSARIO OESTE","FURTO",2009-05-01,13
"233","SALTO DO CEU","FURTO",2009-05-01,1
"234","SANTA TEREZINHA","FURTO",2009-05-01,1
"235","SANTO AFONSO","FURTO",2009-05-01,1
"236","SANTO ANTONIO DO LEVERGER","FURTO",2009-05-01,1
"237","SAO JOSE DO RIO CLARO","FURTO",2009-05-01,22
"238","SAO JOSE DO XINGU","FURTO",2009-05-01,1
"239","SAPEZAL","FURTO",2009-05-01,25
"240","TANGARA DA SERRA","FURTO",2009-05-01,37
"241","TAPURAH","FURTO",2009-05-01,2
"242","VARZEA GRANDE","FURTO",2009-05-01,3
"243","ALTO TAQUARI","HOMICÍDIO",2009-05-01,1
"244","BOM JESUS DO ARAGUAIA","HOMICÍDIO",2009-05-01,1
"245","CUIABA","HOMICÍDIO",2009-05-01,1
"246","ITANHANGA","HOMICÍDIO",2009-05-01,1
"247","LAMBARI DOESTE","HOMICÍDIO",2009-05-01,1
"248","NORTELANDIA","HOMICÍDIO",2009-05-01,1
"249","PORTO ALEGRE DO NORTE","HOMICÍDIO",2009-05-01,1
"250","ROSARIO OESTE","HOMICÍDIO",2009-05-01,1
"251","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-05-01,2
"252","ARENAPOLIS","ROUBO",2009-05-01,1
"253","BARAO DE MELGACO","ROUBO",2009-05-01,1
"254","CUIABA","ROUBO",2009-05-01,2
"255","DIAMANTINO","ROUBO",2009-05-01,1
"256","ITANHANGA","ROUBO",2009-05-01,2
"257","NOVA MUTUM","ROUBO",2009-05-01,1
"258","PONTES E LACERDA","ROUBO",2009-05-01,1
"259","ROSARIO OESTE","ROUBO",2009-05-01,1
"260","SAO JOSE DO RIO CLARO","ROUBO",2009-05-01,1
"261","SAPEZAL","ROUBO",2009-05-01,4
"262","SINOP","ROUBO",2009-05-01,1
"263","TANGARA DA SERRA","ROUBO",2009-05-01,2
"264","TAPURAH","ROUBO",2009-05-01,3
"265","VARZEA GRANDE","ROUBO",2009-05-01,1
"266","ACORIZAL","FURTO",2009-06-01,1
"267","ALTA FLORESTA","FURTO",2009-06-01,1
"268","ALTO BOA VISTA","FURTO",2009-06-01,1
"269","ALTO PARAGUAI","FURTO",2009-06-01,7
"270","ALTO TAQUARI","FURTO",2009-06-01,5
"271","ARAGUAINHA","FURTO",2009-06-01,1
"272","ARENAPOLIS","FURTO",2009-06-01,3
"273","BARAO DE MELGACO","FURTO",2009-06-01,1
"274","BOM JESUS DO ARAGUAIA","FURTO",2009-06-01,3
"275","CACERES","FURTO",2009-06-01,1
"276","CAMPINAPOLIS","FURTO",2009-06-01,6
"277","COCALINHO","FURTO",2009-06-01,5
"278","CUIABA","FURTO",2009-06-01,11
"279","DIAMANTINO","FURTO",2009-06-01,14
"280","GLORIA DOESTE","FURTO",2009-06-01,3
"281","GUARANTA DO NORTE","FURTO",2009-06-01,1
"282","ITANHANGA","FURTO",2009-06-01,3
"283","LAMBARI DOESTE","FURTO",2009-06-01,4
"284","LUCIARA","FURTO",2009-06-01,1
"285","NOBRES","FURTO",2009-06-01,1
"286","NORTELANDIA","FURTO",2009-06-01,1
"287","NOVA MUTUM","FURTO",2009-06-01,28
"288","NOVA OLIMPIA","FURTO",2009-06-01,13
"289","NOVO SANTO ANTONIO","FURTO",2009-06-01,2
"290","PEDRA PRETA","FURTO",2009-06-01,1
"291","PEIXOTO DE AZEVEDO","FURTO",2009-06-01,1
"292","PONTES E LACERDA","FURTO",2009-06-01,1
"293","PORTO ALEGRE DO NORTE","FURTO",2009-06-01,2
"294","PORTO ESPERIDIAO","FURTO",2009-06-01,7
"295","PRIMAVERA DO LESTE","FURTO",2009-06-01,1
"296","QUERENCIA","FURTO",2009-06-01,4
"297","RONDONOPOLIS","FURTO",2009-06-01,5
"298","ROSARIO OESTE","FURTO",2009-06-01,12
"299","SALTO DO CEU","FURTO",2009-06-01,2
"300","SANTO AFONSO","FURTO",2009-06-01,1
"301","SAO FELIX DO ARAGUAIA","FURTO",2009-06-01,1
"302","SAO JOSE DO RIO CLARO","FURTO",2009-06-01,17
"303","SAO JOSE DO XINGU","FURTO",2009-06-01,1
"304","SAPEZAL","FURTO",2009-06-01,32
"305","SORRISO","FURTO",2009-06-01,1
"306","TANGARA DA SERRA","FURTO",2009-06-01,103
"307","TESOURO","FURTO",2009-06-01,2
"308","VARZEA GRANDE","FURTO",2009-06-01,8
"309","BOM JESUS DO ARAGUAIA","HOMICÍDIO",2009-06-01,2
"310","CAMPINAPOLIS","HOMICÍDIO",2009-06-01,1
"311","CUIABA","HOMICÍDIO",2009-06-01,1
"312","NOVA MUTUM","HOMICÍDIO",2009-06-01,1
"313","NOVA OLIMPIA","HOMICÍDIO",2009-06-01,1
"314","PORTO ALEGRE DO NORTE","HOMICÍDIO",2009-06-01,1
"315","PORTO ESPERIDIAO","HOMICÍDIO",2009-06-01,1
"316","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-06-01,1
"317","SAPEZAL","HOMICÍDIO",2009-06-01,1
"318","ALTO PARAGUAI","ROUBO",2009-06-01,1
"319","ALTO TAQUARI","ROUBO",2009-06-01,1
"320","CUIABA","ROUBO",2009-06-01,6
"321","GLORIA DOESTE","ROUBO",2009-06-01,1
"322","NOVA MUTUM","ROUBO",2009-06-01,6
"323","NOVA OLIMPIA","ROUBO",2009-06-01,2
"324","PORTO ESPERIDIAO","ROUBO",2009-06-01,1
"325","QUERENCIA","ROUBO",2009-06-01,1
"326","ROSARIO OESTE","ROUBO",2009-06-01,1
"327","SAO JOSE DO RIO CLARO","ROUBO",2009-06-01,2
"328","SAPEZAL","ROUBO",2009-06-01,2
"329","TANGARA DA SERRA","ROUBO",2009-06-01,22
"330","ACORIZAL","FURTO",2009-07-01,1
"331","ALTO PARAGUAI","FURTO",2009-07-01,2
"332","ARAGUAINHA","FURTO",2009-07-01,1
"333","ARENAPOLIS","FURTO",2009-07-01,6
"334","BARAO DE MELGACO","FURTO",2009-07-01,6
"335","BARRA DO BUGRES","FURTO",2009-07-01,11
"336","BOM JESUS DO ARAGUAIA","FURTO",2009-07-01,2
"337","CACERES","FURTO",2009-07-01,1
"338","CAMPINAPOLIS","FURTO",2009-07-01,4
"339","CAMPO NOVO DO PARECIS","FURTO",2009-07-01,1
"340","CAMPO VERDE","FURTO",2009-07-01,1
"341","CANABRAVA DO NORTE","FURTO",2009-07-01,2
"342","CONFRESA","FURTO",2009-07-01,1
"343","CUIABA","FURTO",2009-07-01,55
"344","DIAMANTINO","FURTO",2009-07-01,11
"345","GLORIA DOESTE","FURTO",2009-07-01,1
"346","INDIAVAI","FURTO",2009-07-01,2
"347","ITANHANGA","FURTO",2009-07-01,6
"348","LUCIARA","FURTO",2009-07-01,2
"349","NOBRES","FURTO",2009-07-01,12
"350","NORTELANDIA","FURTO",2009-07-01,2
"351","NOVA MONTEVERDE","FURTO",2009-07-01,1
"352","NOVA MUTUM","FURTO",2009-07-01,28
"353","NOVA OLIMPIA","FURTO",2009-07-01,17
"354","PORTO ALEGRE DO NORTE","FURTO",2009-07-01,4
"355","PORTO ESPERIDIAO","FURTO",2009-07-01,3
"356","PORTO ESTRELA","FURTO",2009-07-01,3
"357","QUERENCIA","FURTO",2009-07-01,2
"358","ROSARIO OESTE","FURTO",2009-07-01,3
"359","SANTA TEREZINHA","FURTO",2009-07-01,2
"360","SAO FELIX DO ARAGUAIA","FURTO",2009-07-01,1
"361","SAO JOSE DO RIO CLARO","FURTO",2009-07-01,4
"362","SERRA NOVA DOURADA","FURTO",2009-07-01,2
"363","SORRISO","FURTO",2009-07-01,2
"364","TANGARA DA SERRA","FURTO",2009-07-01,1
"365","TAPURAH","FURTO",2009-07-01,4
"366","VARZEA GRANDE","FURTO",2009-07-01,48
"367","ALTO PARAGUAI","HOMICÍDIO",2009-07-01,1
"368","ARENAPOLIS","HOMICÍDIO",2009-07-01,1
"369","BARRA DO BUGRES","HOMICÍDIO",2009-07-01,2
"370","CAMPINAPOLIS","HOMICÍDIO",2009-07-01,2
"371","NOBRES","HOMICÍDIO",2009-07-01,1
"372","NOVA MUTUM","HOMICÍDIO",2009-07-01,2
"373","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-07-01,1
"374","VARZEA GRANDE","HOMICÍDIO",2009-07-01,1
"375","BARRA DO BUGRES","ROUBO",2009-07-01,5
"376","CUIABA","ROUBO",2009-07-01,9
"377","DIAMANTINO","ROUBO",2009-07-01,1
"378","ITANHANGA","ROUBO",2009-07-01,1
"379","NOBRES","ROUBO",2009-07-01,2
"380","NORTELANDIA","ROUBO",2009-07-01,2
"381","NOVA MUTUM","ROUBO",2009-07-01,14
"382","NOVA OLIMPIA","ROUBO",2009-07-01,3
"383","NOVO SANTO ANTONIO","ROUBO",2009-07-01,1
"384","PORTO ALEGRE DO NORTE","ROUBO",2009-07-01,1
"385","PORTO ESPERIDIAO","ROUBO",2009-07-01,1
"386","ROSARIO OESTE","ROUBO",2009-07-01,3
"387","SAO JOSE DO RIO CLARO","ROUBO",2009-07-01,1
"388","VARZEA GRANDE","ROUBO",2009-07-01,30
"389","ACORIZAL","FURTO",2009-08-01,2
"390","ALTA FLORESTA","FURTO",2009-08-01,1
"391","ALTO PARAGUAI","FURTO",2009-08-01,10
"392","ALTO TAQUARI","FURTO",2009-08-01,1
"393","ARAGUAINHA","FURTO",2009-08-01,1
"394","ARAPUTANGA","FURTO",2009-08-01,1
"395","ARENAPOLIS","FURTO",2009-08-01,2
"396","BARAO DE MELGACO","FURTO",2009-08-01,1
"397","BARRA DO BUGRES","FURTO",2009-08-01,18
"398","BOM JESUS DO ARAGUAIA","FURTO",2009-08-01,2
"399","CACERES","FURTO",2009-08-01,2
"400","CAMPINAPOLIS","FURTO",2009-08-01,5
"401","CANABRAVA DO NORTE","FURTO",2009-08-01,2
"402","CHAPADA DOS GUIMARAES","FURTO",2009-08-01,1
"403","CLAUDIA","FURTO",2009-08-01,1
"404","CUIABA","FURTO",2009-08-01,670
"405","CURVELANDIA","FURTO",2009-08-01,5
"406","DIAMANTINO","FURTO",2009-08-01,33
"407","GLORIA DOESTE","FURTO",2009-08-01,2
"408","GUARANTA DO NORTE","FURTO",2009-08-01,1
"409","INDIAVAI","FURTO",2009-08-01,3
"410","ITANHANGA","FURTO",2009-08-01,8
"411","LAMBARI DOESTE","FURTO",2009-08-01,1
"412","MIRASSOL D""OESTE","FURTO",2009-08-01,13
"413","NORTELANDIA","FURTO",2009-08-01,3
"414","NOSSA SRA DO LIVRAMENTO","FURTO",2009-08-01,1
"415","NOVA MONTEVERDE","FURTO",2009-08-01,1
"416","NOVA MUTUM","FURTO",2009-08-01,70
"417","PEDRA PRETA","FURTO",2009-08-01,2
"418","PONTE BRANCA","FURTO",2009-08-01,1
"419","PORTO ALEGRE DO NORTE","FURTO",2009-08-01,13
"420","PORTO ESTRELA","FURTO",2009-08-01,2
"421","QUERENCIA","FURTO",2009-08-01,1
"422","RONDONOPOLIS","FURTO",2009-08-01,2
"423","ROSARIO OESTE","FURTO",2009-08-01,20
"424","SALTO DO CEU","FURTO",2009-08-01,1
"425","SANTA TEREZINHA","FURTO",2009-08-01,1
"426","SANTO ANTONIO DO LEVERGER","FURTO",2009-08-01,4
"427","SAO FELIX DO ARAGUAIA","FURTO",2009-08-01,1
"428","SAO JOSE DO RIO CLARO","FURTO",2009-08-01,20
"429","SAO JOSE DO XINGU","FURTO",2009-08-01,3
"430","SAPEZAL","FURTO",2009-08-01,13
"431","TANGARA DA SERRA","FURTO",2009-08-01,4
"432","VARZEA GRANDE","FURTO",2009-08-01,161
"433","ALTO BOA VISTA","HOMICÍDIO",2009-08-01,1
"434","ALTO TAQUARI","HOMICÍDIO",2009-08-01,1
"435","BARRA DO BUGRES","HOMICÍDIO",2009-08-01,2
"436","CUIABA","HOMICÍDIO",2009-08-01,8
"437","ITANHANGA","HOMICÍDIO",2009-08-01,1
"438","LUCAS DO RIO VERDE","HOMICÍDIO",2009-08-01,1
"439","LUCIARA","HOMICÍDIO",2009-08-01,1
"440","NOVA MARINGA","HOMICÍDIO",2009-08-01,1
"441","NOVA MUTUM","HOMICÍDIO",2009-08-01,2
"442","ROSARIO OESTE","HOMICÍDIO",2009-08-01,1
"443","SALTO DO CEU","HOMICÍDIO",2009-08-01,1
"444","SANTA TEREZINHA","HOMICÍDIO",2009-08-01,1
"445","SAO JOSE DO RIO CLARO","HOMICÍDIO",2009-08-01,2
"446","TAPURAH","HOMICÍDIO",2009-08-01,1
"447","VARZEA GRANDE","HOMICÍDIO",2009-08-01,1
"448","CUIABA","HOMICÍDIO DOLOSO",2009-08-01,19
"449","VARZEA GRANDE","HOMICÍDIO DOLOSO",2009-08-01,3
"450","ALTO TAQUARI","ROUBO",2009-08-01,1
"451","BARRA DO BUGRES","ROUBO",2009-08-01,3
"452","BOM JESUS DO ARAGUAIA","ROUBO",2009-08-01,1
"453","CAMPINAPOLIS","ROUBO",2009-08-01,1
"454","CHAPADA DOS GUIMARAES","ROUBO",2009-08-01,1
"455","CUIABA","ROUBO",2009-08-01,306
"456","DIAMANTINO","ROUBO",2009-08-01,4
"457","JANGADA","ROUBO",2009-08-01,1
"458","LAMBARI DOESTE","ROUBO",2009-08-01,1
"459","LUCAS DO RIO VERDE","ROUBO",2009-08-01,1
"460","NORTELANDIA","ROUBO",2009-08-01,1
"461","NOVA MUTUM","ROUBO",2009-08-01,5
"462","RONDONOPOLIS","ROUBO",2009-08-01,2
"463","ROSARIO OESTE","ROUBO",2009-08-01,1
"464","SAPEZAL","ROUBO",2009-08-01,2
"465","SORRISO","ROUBO",2009-08-01,1
"466","TANGARA DA SERRA","ROUBO",2009-08-01,1
"467","TAPURAH","ROUBO",2009-08-01,1
"468","VARZEA GRANDE","ROUBO",2009-08-01,143
"469","CUIABA","ROUBO SEGUIDO DE MORTE",2009-08-01,1
"470","ACORIZAL","FURTO",2009-09-01,2
"471","AGUA BOA","FURTO",2009-09-01,1
"472","ALTO PARAGUAI","FURTO",2009-09-01,4
"473","ALTO TAQUARI","FURTO",2009-09-01,3
"474","ARENAPOLIS","FURTO",2009-09-01,2
"475","BARAO DE MELGACO","FURTO",2009-09-01,2
"476","BARRA DO BUGRES","FURTO",2009-09-01,13
"477","BRASNORTE","FURTO",2009-09-01,1
"478","CACERES","FURTO",2009-09-01,14
"479","CAMPINAPOLIS","FURTO",2009-09-01,2
"480","CANABRAVA DO NORTE","FURTO",2009-09-01,1
"481","COMODORO","FURTO",2009-09-01,1
